,total_cup_points,average_altitude_m,aroma,flavor,aftertaste,acidity,body,balance,uniformity,moisture_percentage
total_cup_points,1.0,0.12873224011579287,0.8672518458883898,0.9372935237144518,0.9335136382522136,0.8974206434519872,0.8435750373509028,0.92791427540644,0.004757884743410216,-0.042987546719074725
average_altitude_m,0.12873224011579287,1.0,0.05735937656326836,0.1232949639863671,0.06530821679491766,0.15456835951677395,0.22183669192162384,0.10835599488762507,0.04204257993674048,0.1851615333728754
aroma,0.8672518458883898,0.05735937656326836,1.0,0.8223516814625211,0.7919908105229678,0.7044076284209149,0.6274821415571709,0.7419333962414209,-0.028010798933036377,-0.0013771154906018336
flavor,0.9372935237144518,0.1232949639863671,0.8223516814625211,1.0,0.8719649181897594,0.8115567729043579,0.7301867234519037,0.8465059816401045,-0.039657605333867876,-0.04436740519267308
aftertaste,0.9335136382522136,0.06530821679491766,0.7919908105229678,0.8719649181897594,1.0,0.813944247275382,0.7332883783285055,0.858190917862896,-0.023472305234770306,-0.045061210653194364
acidity,0.8974206434519872,0.15456835951677395,0.7044076284209149,0.8115567729043579,0.813944247275382,1.0,0.7707904981042768,0.8066046976572718,-0.06461762091202031,-0.016672418719141966
body,0.8435750373509028,0.22183669192162384,0.6274821415571709,0.7301867234519037,0.7332883783285055,0.7707904981042768,1.0,0.8121953264016624,-0.043606163213663035,0.01433255466300626
balance,0.92791427540644,0.10835599488762507,0.7419333962414209,0.8465059816401045,0.858190917862896,0.8066046976572718,0.8121953264016624,1.0,-0.08982127010706435,-0.06636193513985401
uniformity,0.004757884743410216,0.04204257993674048,-0.028010798933036377,-0.039657605333867876,-0.023472305234770306,-0.06461762091202031,-0.043606163213663035,-0.08982127010706435,1.0,0.03277690236218911
moisture_percentage,-0.042987546719074725,0.1851615333728754,-0.0013771154906018336,-0.04436740519267308,-0.045061210653194364,-0.016672418719141966,0.01433255466300626,-0.06636193513985401,0.03277690236218911,1.0
